,HighGroup,LowGroup
2012-03-20,1.0,1.0
2012-03-21,1.0,1.0
2012-03-22,1.0,1.0
2012-03-23,1.0,1.0
2012-03-24,1.0,1.0
2012-03-25,1.0,1.0
2012-03-26,1.0,1.0
2012-03-27,1.0,1.0
2012-03-28,1.0,1.0
2012-03-29,1.0,1.0
2012-03-30,1.0,1.0
2012-03-31,1.0,1.0
2012-04-01,1.0,1.0
2012-04-02,0.9940420109971327,0.9871175384400388
2012-04-03,0.9649064283602116,0.9746676191895945
2012-04-04,1.0,1.0
2012-04-05,0.9911298294436919,0.9836195823799321
2012-04-06,1.016537227571109,1.0317690596077234
2012-04-07,1.0,1.0
2012-04-08,1.0,1.0
2012-04-09,0.9837445941866478,0.981440569279349
2012-04-10,1.0082644502998157,1.0063483516440346
2012-04-11,1.0031930372334024,0.9995925394492483
2012-04-12,1.0069755090987766,1.0016326623346532
2012-04-13,1.0140024930804723,1.0216137019904685
2012-04-14,1.0,1.0
2012-04-15,1.0,1.0
2012-04-16,0.9897062064215015,0.9920795281616785
2012-04-17,0.9692048495985202,0.9785955919961197
2012-04-18,1.0109195597305038,0.9959594144612821
2012-04-19,1.0011787253280702,0.9931733907523972
2012-04-20,0.9784828412164976,0.9751269149260057
2012-04-21,1.0,1.0
2012-04-22,1.0,1.0
2012-04-23,0.9905508960108146,0.9887940452558321
2012-04-24,0.9993369243293251,1.006327278834831
2012-04-25,1.0142719702318832,1.01817413329784
2012-04-26,0.9953467372308424,0.9809747037315215
2012-04-27,0.9882138860903464,0.9852394689728523
2012-04-28,1.0,1.0
2012-04-29,1.0,1.0
2012-04-30,1.013533903049055,0.9992910819810701
2012-05-01,1.0,1.0
2012-05-02,1.0366873045399279,1.0355750044913081
2012-05-03,1.0120183491571755,0.9897001081958087
2012-05-04,1.0123368215424968,1.0217129967244059
2012-05-05,1.0,1.0
2012-05-06,1.0,1.0
2012-05-07,0.982332623362165,0.9894218798650607
2012-05-08,1.0034987926553356,1.007858629973225
2012-05-09,0.989652679815477,0.9895054227275295
2012-05-10,0.996900351464164,0.9998569054981973
2012-05-11,0.9876374270892107,0.9784363073603299
2012-05-12,1.0,1.0
2012-05-13,1.0,1.0
2012-05-14,1.0016925434488966,0.9892823442271876
2012-05-15,1.0056410215768423,1.0092364348690928
2012-05-16,0.9817464507548725,0.9708190717589265
2012-05-17,1.0191740418292097,1.0104174253716347
2012-05-18,0.9693421725891749,0.9601205432104083
2012-05-19,1.0,1.0
2012-05-20,1.0,1.0
2012-05-21,1.002726727569086,1.008073570998399
2012-05-22,1.019228943170901,1.0244198253578365
