,Date,low_adj,high_adj,open_adj,close_adj,volume,stock
4012,2016-09-26,9189.49,9229.34,9229.34,9194.52,2625293,Y9999
4013,2016-09-29,9238.49,9303.13,9241.61,9270.9,3723139,Y9999
4014,2016-09-30,9160.91,9240.65,9240.44,9166.85,3426034,Y9999
4015,2016-10-03,9212.38,9256.58,9219.52,9234.2,3002161,Y9999
4016,2016-10-04,9224.45,9287.77,9228.66,9287.77,3066078,Y9999
4017,2016-10-05,9244.41,9276.13,9260.69,9272.28,3002597,Y9999
4018,2016-10-06,9242.83,9284.31,9263.4,9284.31,3137942,Y9999
4019,2016-10-07,9249.06,9289.95,9289.66,9265.81,2981282,Y9999
4020,2016-10-11,9167.72,9327.71,9311.79,9219.82,4127460,Y9999
4021,2016-10-12,9166.58,9258.69,9201.55,9252.6,3407399,Y9999
4022,2016-10-13,9187.78,9285.05,9268.22,9219.17,3342252,Y9999
4023,2016-10-14,9149.87,9216.63,9198.26,9165.17,3222233,Y9999
4024,2016-10-17,9074.99,9182.67,9150.67,9176.22,3082126,Y9999
4025,2016-10-18,9157.4,9222.58,9175.07,9222.58,3058813,Y9999
4026,2016-10-19,9226.46,9298.87,9227.98,9283.99,3429784,Y9999
4027,2016-10-20,9279.15,9331.89,9288.49,9317.24,3523381,Y9999
4028,2016-10-21,9292.53,9348.09,9322.55,9306.57,3773891,Y9999
4029,2016-10-24,9308.53,9343.57,9333.94,9322.5,3043948,Y9999
4030,2016-10-25,9334.8,9399.97,9338.09,9385.65,3568506,Y9999
4031,2016-10-26,9338.84,9372.74,9355.66,9362.25,3200802,Y9999
4032,2016-10-27,9286.86,9370.32,9363.9,9299.55,3436938,Y9999
4033,2016-10-28,9276.71,9320.57,9307.39,9306.92,3124888,Y9999
4034,2016-10-31,9194.48,9314.34,9283.2,9290.12,2933043,Y9999
4035,2016-11-01,9236.82,9289.12,9272.3,9272.7,2497659,Y9999
4036,2016-11-02,9139.04,9230.23,9230.23,9139.04,3184164,Y9999
4037,2016-11-03,9067.27,9154.19,9126.29,9067.27,3204101,Y9999
4038,2016-11-04,9048.21,9098.88,9065.11,9068.15,2739339,Y9999
4039,2016-11-07,9102.97,9191.67,9102.97,9189.84,2835069,Y9999
4040,2016-11-08,9165.0,9230.2,9214.95,9217.43,3072696,Y9999
4041,2016-11-09,8926.6,9296.86,9252.27,8943.2,6044384,Y9999
4042,2016-11-10,9070.64,9179.18,9070.64,9152.18,4506916,Y9999
4043,2016-11-11,8949.38,9067.65,9067.65,8957.76,5065759,Y9999
4044,2016-11-14,8879.69,8991.94,8955.27,8940.4,4637858,Y9999
4045,2016-11-15,8923.36,8981.05,8927.92,8931.03,4100692,Y9999
4046,2016-11-16,8955.76,9032.31,8955.76,8962.22,3914412,Y9999
4047,2016-11-17,8936.3,8998.23,8984.57,8995.26,3579224,Y9999
4048,2016-11-18,8958.22,9025.98,8991.5,9008.79,3746952,Y9999
4049,2016-11-21,8986.4,9049.76,9009.78,9041.11,3751486,Y9999
4050,2016-11-22,9058.58,9161.19,9058.58,9133.39,4636095,Y9999
4051,2016-11-23,9146.72,9202.72,9146.72,9178.23,4276380,Y9999
4052,2016-11-24,9137.56,9183.16,9164.84,9152.11,4041910,Y9999
4053,2016-11-25,9148.63,9191.34,9149.35,9159.07,3665470,Y9999
4054,2016-11-28,9167.33,9241.54,9167.33,9222.24,4250435,Y9999
4055,2016-11-29,9192.38,9249.06,9220.95,9192.38,4314651,Y9999
4056,2016-11-30,9189.62,9240.71,9196.09,9240.71,4869513,Y9999
4057,2016-12-01,9241.78,9278.96,9245.55,9263.53,4136060,Y9999
4058,2016-12-02,9165.9,9214.56,9214.56,9189.49,3786805,Y9999
4059,2016-12-05,9138.64,9212.19,9194.46,9160.66,3391496,Y9999
4060,2016-12-06,9209.8,9280.65,9209.8,9250.77,3667576,Y9999
4061,2016-12-07,9247.5,9299.92,9279.0,9263.89,3636815,Y9999
4062,2016-12-08,9308.9,9376.41,9308.9,9375.86,4549781,Y9999
4063,2016-12-09,9366.86,9399.25,9383.07,9392.68,3964574,Y9999
4064,2016-12-12,9336.45,9430.34,9402.05,9349.94,4035825,Y9999
4065,2016-12-13,9342.56,9382.14,9361.97,9382.14,3812248,Y9999
4066,2016-12-14,9353.25,9413.13,9395.6,9368.52,3434019,Y9999
4067,2016-12-15,9309.79,9370.51,9337.21,9360.35,3836100,Y9999
4068,2016-12-16,9326.78,9379.75,9352.27,9326.78,3675553,Y9999
4069,2016-12-19,9237.98,9317.03,9316.06,9239.32,3156197,Y9999
4070,2016-12-20,9199.84,9258.69,9229.74,9242.41,3372611,Y9999
4071,2016-12-21,9204.26,9263.5,9234.94,9204.26,3195514,Y9999
4072,2016-12-22,9118.75,9209.72,9204.29,9118.75,3277666,Y9999
4073,2016-12-23,9078.64,9128.83,9112.33,9078.64,2935828,Y9999
4074,2016-12-26,9083.28,9127.74,9088.99,9110.54,2047647,Y9999
4075,2016-12-27,9100.83,9132.05,9120.88,9109.27,2082870,Y9999
4076,2016-12-28,9120.9,9203.56,9120.9,9201.4,2801681,Y9999
4077,2016-12-29,9149.16,9196.02,9172.39,9153.09,2703276,Y9999
4078,2016-12-30,9186.3,9259.09,9186.3,9253.5,2740107,Y9999
4079,2017-01-03,9235.95,9273.65,9252.56,9272.88,2490220,Y9999
4080,2017-01-04,9266.03,9299.62,9279.52,9286.96,2902225,Y9999
4081,2017-01-05,9282.45,9358.42,9282.56,9358.14,3925580,Y9999
4082,2017-01-06,9351.25,9381.11,9371.41,9372.22,3607840,Y9999
4083,2017-01-09,9328.19,9404.9,9376.48,9342.42,3551476,Y9999
4084,2017-01-10,9319.45,9353.6,9344.19,9349.64,3289324,Y9999
4085,2017-01-11,9333.49,9384.0,9370.17,9345.74,3680625,Y9999
4086,2017-01-12,9356.12,9430.58,9356.12,9410.18,3771167,Y9999
4087,2017-01-13,9352.08,9387.68,9373.7,9378.83,3293064,Y9999
4088,2017-01-16,9281.21,9359.01,9356.54,9292.33,3066709,Y9999
4089,2017-01-17,9294.68,9354.53,9301.96,9354.53,3052796,Y9999
4090,2017-01-18,9322.44,9350.95,9344.74,9341.97,3744987,Y9999
4091,2017-01-19,9287.54,9337.64,9324.83,9318.12,3614825,Y9999
4092,2017-01-20,9317.62,9350.07,9326.8,9331.46,3098080,Y9999
4093,2017-01-23,9363.66,9427.46,9363.66,9424.05,3219340,Y9999
4094,2017-01-24,9416.06,9468.34,9423.05,9447.95,3362191,Y9999
4095,2017-02-02,9413.77,9521.34,9502.25,9428.97,5119534,Y9999
4096,2017-02-03,9423.93,9478.01,9450.06,9455.56,5068371,Y9999
4097,2017-02-06,9467.67,9548.68,9467.67,9538.01,5510906,Y9999
4098,2017-02-07,9512.56,9555.8,9527.42,9554.56,4932873,Y9999
4099,2017-02-08,9505.79,9564.07,9540.77,9543.25,5300856,Y9999
4100,2017-02-09,9540.51,9600.09,9555.52,9590.18,5264593,Y9999
4101,2017-02-10,9612.67,9688.15,9612.67,9665.59,6240806,Y9999
4102,2017-02-13,9681.1,9711.43,9690.39,9710.32,5255562,Y9999
4103,2017-02-14,9698.29,9760.01,9726.74,9718.78,5531133,Y9999
4104,2017-02-15,9723.04,9813.98,9724.13,9799.76,5748794,Y9999
4105,2017-02-16,9753.16,9869.59,9826.89,9771.25,5167818,Y9999
4106,2017-02-17,9754.54,9791.59,9779.16,9759.76,4358105,Y9999
4107,2017-02-18,9770.75,9791.35,9771.21,9779.92,3411356,Y9999
4108,2017-02-20,9743.36,9817.14,9795.81,9753.2,4750607,Y9999
4109,2017-02-21,9721.36,9775.49,9761.27,9763.93,4604650,Y9999
4110,2017-02-22,9770.1,9820.07,9786.25,9778.78,4853832,Y9999
4111,2017-02-23,9748.94,9810.56,9774.08,9769.31,4655622,Y9999
4112,2017-02-24,9740.18,9784.39,9757.67,9750.47,4221089,Y9999
4113,2017-03-01,9674.78,9758.78,9751.12,9674.78,4352913,Y9999
4114,2017-03-02,9646.34,9774.6,9727.6,9691.8,4761241,Y9999
4115,2017-03-03,9633.88,9679.82,9672.26,9648.21,4165254,Y9999
4116,2017-03-06,9647.0,9688.5,9647.0,9682.63,3722553,Y9999
4117,2017-03-07,9690.2,9738.07,9690.26,9738.07,3874251,Y9999
4118,2017-03-08,9712.5,9773.49,9744.26,9753.45,4196044,Y9999
4119,2017-03-09,9650.32,9743.78,9740.05,9658.61,4805336,Y9999
4120,2017-03-10,9562.75,9656.65,9653.79,9627.89,4616512,Y9999
4121,2017-03-13,9656.56,9697.34,9656.56,9697.34,4101677,Y9999
